Ref,Val,Package,PosX,PosY,Rot,Side
"D4","SP0502BAHT","SOT-23",93.726000,-147.193000,180.000000,top
"D5","SMAJ12CA","D_SMA",90.487000,-150.632800,-90.000000,top
"D6","SP0502BAHT","SOT-23",130.129800,-133.342000,0.000000,top
"D9","SOD4007","D_SOD-123F",80.264000,-103.121000,-90.000000,top
"D10","SOD4007","D_SOD-123F",88.312800,-107.619800,0.000000,top
"F1","1812L075PR","Fuse_1812_4532Metric",74.930000,-149.987000,180.000000,top
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",67.716400,-91.897200,0.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",127.965200,-152.654000,0.000000,top
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",132.332000,-104.343200,0.000000,top
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",72.110600,-152.857200,0.000000,top
"J1","JST NC Valve","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",98.535000,-111.740000,90.000000,top
"J2","JST NO Valve","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",98.535000,-119.995000,90.000000,top
"J3","6P4C","RJ14_Connfly_DS1133-S4_Horizontal",116.592000,-148.441000,180.000000,top
"J4","JST 3 Way Valve","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",106.900200,-110.560800,-90.000000,top
"J5","Jack-DC 12V","BarrelJack_Wuerth_6941xx301002",83.067600,-143.256000,0.000000,top
"J6","Power Sw","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",114.625200,-113.639800,0.000000,top
"J7","EXP1","BM04B-SRSS-TBT",124.129800,-125.476000,90.000000,top
"J8","EXP2","BM06B-SRSS-TBT",106.807000,-126.288800,-90.000000,top
"J9","BM04B-SRSS-TBT(LF)(SN)","BM04B-SRSS-TBT",109.626400,-136.855200,0.000000,top
"J10","BM10B-SRSS-TB(LF)(SN)","BM10B-SRSS-TB(LF)(SN)",122.021600,-136.750800,180.000000,top
"J12","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",98.044000,-154.973700,0.000000,top
"L1","6.8uH","L_TDK_SLF7032",72.957500,-123.700000,-90.000000,top
"L2","6.8uH","L_TDK_SLF7032",90.792000,-102.045000,180.000000,top
"Q1","BSS138","SOT-23",69.342000,-105.915000,0.000000,top
"Q2","BSS138","SOT-23",76.835000,-105.915000,0.000000,top
"Q3","BSS138","SOT-23",84.328000,-105.915000,0.000000,top
"Q4","STN4NF20L","SOT223",76.327000,-136.398000,180.000000,top
"Q5","BSS138","SOT-23",119.507000,-130.429000,-90.000000,top
"R1","5.1k","R_0603_1608Metric",91.897200,-155.473400,-90.000000,top
"R2","5.1k","R_0603_1608Metric",102.616000,-148.590000,180.000000,top
"R3","1M","R_0603_1608Metric",104.140000,-150.876000,90.000000,top
"R4","27.4","R_0402_1005Metric",94.483000,-143.030000,-90.000000,top
"R5","27.4","R_0402_1005Metric",93.467000,-143.030000,-90.000000,top
"R6","100k","R_0603_1608Metric",69.088000,-101.724000,0.000000,top
"R7","220","R_0603_1608Metric",69.088000,-103.375000,0.000000,top
"R9","100k","R_0603_1608Metric",76.581000,-101.724000,0.000000,top
"R11","100k","R_0603_1608Metric",84.074000,-101.724000,0.000000,top
"R13","100","R_0603_1608Metric",122.301000,-133.096000,0.000000,top
"R14","1M","R_0603_1608Metric",69.950000,-117.700000,-90.000000,top
"R15","220","R_0603_1608Metric",76.581000,-103.375000,0.000000,top
"R17","220","R_0603_1608Metric",84.074000,-103.375000,0.000000,top
"R20","10k","R_0603_1608Metric",78.600000,-130.700000,-90.000000,top
"R21","2.2k","R_0603_1608Metric",119.380000,-120.650000,-90.000000,top
"R22","2.2k","R_0603_1608Metric",121.158000,-120.650000,-90.000000,top
"R23","220","R_0603_1608Metric",124.409200,-150.215600,90.000000,top
"R24","220","R_0603_1608Metric",126.187200,-150.215600,90.000000,top
"R25","10k","R_0603_1608Metric",116.967000,-130.937000,-90.000000,top
"R26","1k","R_0603_1608Metric",109.093000,-141.859000,0.000000,top
"R27","1k","R_0603_1608Metric",92.583000,-129.540000,180.000000,top
"R29","10k","R_0603_1608Metric",123.063000,-131.572000,0.000000,top
"SW1","BOOTSEL","SW_Tactile_SKHH_Angled",127.903800,-113.675600,-90.000000,top
"TP19","Ground TP","TestPoint_Keystone_5010-5014_Multipurpose",98.298000,-103.124000,0.000000,top
"U1","LD1117S33TR","SOT-223",84.074000,-135.001000,-90.000000,top
"U2","TPS62112RSAR","QFN65P400X400X100-17N",74.200000,-116.600000,180.000000,top
"U3","W25Q128JVPIQ","SON127P500X600X80-9N",101.976000,-144.653000,180.000000,top
"U4","RP2040","RP2040-QFN-56",95.880000,-137.160000,180.000000,top
"Y1","ABMM2-12.000MHZ-E2-T","XTAL_ABMM2-12.000MHZ-E2-T",93.070000,-126.560000,180.000000,top
